time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	3.42552e-86	5.20268e-90	2.21378e-52	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.733497	0.62764	7.2482	4.19821e-17	3.93543e-17	radar	73.5871	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16054	0.494821	7.25149	-0.126849	-0.0118265	lidar	0.218955	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.2572	0.533389	7.23492	0.120383	0.0301163	radar	1.8278	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.6166	0.595213	7.24973	0.160091	0.046239	lidar	0.163674	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85143	0.563631	5.943	0.032008	-0.205639	radar	6.8946	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16072	0.593921	5.94418	0.0463281	-0.153624	lidar	0.242834	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37594	0.641791	5.4777	0.0739018	-0.214662	radar	5.02736	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6488	0.661514	5.47928	0.0646661	-0.209188	lidar	0.0036607	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91561	0.655874	5.42452	0.0216803	-0.341756	radar	0.146006	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14792	0.654643	5.37649	0.00934119	-0.324833	lidar	1.05258	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43587	0.549419	5.44222	-0.145526	-0.772351	radar	1.53301	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74019	0.435354	5.53761	-0.273468	-1.03489	lidar	2.36876	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01926	0.520058	5.52907	-0.133134	-0.505062	radar	3.92525	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29287	0.51363	5.50196	-0.125036	-0.423029	lidar	0.299285	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54962	0.558283	5.34055	-0.0734109	-0.25843	radar	1.56661	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72762	0.674724	5.10094	0.0376366	0.00641478	lidar	11.3566	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97948	0.671906	5.006	0.0274086	-0.0138679	radar	0.972645	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27852	0.662742	5.09658	0.0116485	-0.0430154	lidar	3.12126	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53974	0.667613	5.25985	0.0126741	-0.0364498	radar	1.92966	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83793	0.679897	5.32183	0.0158332	-0.0285869	lidar	1.85016	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07849	0.606271	5.13365	-0.0391068	-0.11668	radar	3.3569	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33014	0.71845	5.11186	0.0360708	0.0101672	lidar	3.62324	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58026	0.750052	5.06979	0.0507848	0.0315635	radar	0.275799	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
